Nombre;Descripcion corta;Categoria padre;Categoria;ID
ACTIV-COLOR;Detergente higienizante clorado para superficies;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-01
ZOSY D;Desengrasante industrial apto para uso en industria alimentaria;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-02
CHEMGRAS DS;Desengrasante multiusos apto industria alimentaria;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-03
CHEMGRAS AS FT;Desengrasante multiusos;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-04
CHEMGRAS BAC;Desengrasante energico higienizante-sanitizante;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-05
VITSOL;Desengrasante – desodorizante limpiador – abrillantador;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-06
XAMPIX;Desengrasante desodorizante;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-07
BRINET AML;Detergente liquido amoniacal concentrado;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-08
BRINET BQ;Fregasuelos base bioalcohol;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-09
BRINET L;Fregasuelos higienizante perfumado;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-10
BRINET MG;Detergente fregasuelos de uso general para máquinas automáticas;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-11
CHEMGRAS EC;Desengrasante multiusos;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-12
CHEMGRAS GC;Detergente para máquinas fregadoras e inyección-extracción;INDUSTRIA EN GENERAL;DETERGENTES Y DESENGRASANTES;ID-13
DERGEL CMB;Gel de manos;INDUSTRIA EN GENERAL;HIGIENE DE MANOS;IM-01
DERGEL NB;Gel nacarado para higiene personal;INDUSTRIA EN GENERAL;HIGIENE DE MANOS;IM-02
DERGEL SO;Gel para lavado de manos sin residuo, especial industria alimentaria;INDUSTRIA EN GENERAL;HIGIENE DE MANOS;IM-03
DETER-PAST;Pasta de manos exenta de disolventes;INDUSTRIA EN GENERAL;HIGIENE DE MANOS;IM-04
GELPAST BPP;Pasta de manos con piedra pómez;INDUSTRIA EN GENERAL;HIGIENE DE MANOS;IM-05
LICOGEL;Gel sanitizante base hidroalcohólica para uso directo;INDUSTRIA EN GENERAL;HIGIENE DE MANOS;IM-06
HIDROSAN;Higienizante hidroalcohólico para manos;INDUSTRIA EN GENERAL;HIGIENE DE MANOS;IM-07
CHEMFORT LC;Desincrustante de circuitos;INDUSTRIA EN GENERAL;TALLERES MANTENIMIENTO Y AUTOMOCION;IT-01
CHEMFORT WC;Desatascador químico de cañerías;INDUSTRIA EN GENERAL;TALLERES MANTENIMIENTO Y AUTOMOCION;IT-02
